# Wordlist

# DATA
ID	ID	ALIGNMENT	COGIDS	CONCEPT	DOCULECT	FORM	SPANISH	TOKENS	VALUE	BORROWING	NOTE	SOURCE	SUBGROUP
3900		w a s a	51	back	Pocona	wasa	espalda	w a s a	wasa				Quechua
3902		w a s a	51	back	Puno	wasa	espalda	w a s a	wasa				Quechua
3903		w a s a	51	back	Putumayo	huasa	espalda	w a s a	huasa				Quechua
3904		w a q t a	72	back	Raimondi	waqta	espalda	w a q t a	waqta				Quechua
3905		w a ʃ a	51	back	SanPedro	washa	espalda	w a ʃ a	washa				Quechua
3906		w a s a	51	back	Santiagueno	wasa	espalda	w a s a	wasa				Quechua
3908		w a ʃ a	51	back	Serena	waša	espalda	w a ʃ a	waša				Quechua
3910		w a s a	51	back	Taquile	wasa	espalda	w a s a	wasa				Quechua
3911		w a ʃ a	51	back	Tarma	waša	espalda	w a ʃ a	waša				Quechua
3912		w a ʃ a	51	back	Troje	waša	espalda	w a ʃ a	waša				Quechua
3914		w a q t a	72	back	Wari	waqta	espalda	w a q t a	waqta				Quechua
3915		w a q t a	72	back	Yanac	waqta	espalda	w a q t a	waqta, waχta				Quechua
3916		w a χ t a	72	back	Yanac	waχta	espalda	w a χ t a	waqta, waχta				Quechua
7444		w a ʃ a	51	back	Azuay	huasha	espalda	w a ʃ a	huasha				
7576		w a ʂ a	51	back	Jauja	waŝa	espalda	w a ʂ a	waŝa				
#
552		- o ŋ q u -	99	be sick	Apuri	unqu-	estar enfermo	o ŋ q u	unqu-				Quechua
553		- o n q o - + tʃ i	99	be sick	Apurimac	onqochi	estar enfermo	o n q o + tʃ i	onqochi				Quechua
554		- u ŋ χ u -	99	be sick	Arma	unqu	estar enfermo	u ŋ χ u	unqu				Quechua
555		- u n ɢ u -	99	be sick	Atalla	unġu	estar enfermo	u n ɢ u	unġu				Quechua
556		- o ŋ χ o -	99	be sick	Ayacucho	onqo	estar enfermo	o ŋ χ o	onqo				Quechua
557		- u n g u - + tʃ i + n a	99	be sick	Bobonaza	unguchina	estar enfermo	u n g u + tʃ i + n a	unguchina				Quechua
558		- o ŋ q u -	99	be sick	Cacra-Hongos	unqu-	estar enfermo	o ŋ q u	unqu-				Quechua
559		ɢ i ʃ i j a	100	be sick	Chacpar	ġišiya.	estar enfermo	ɢ i ʃ i j a	ġišiya.				Quechua
560		q i ʃ a - -	100	be sick	Chetilla	qiyša.	estar enfermo	q i ʃ a	qiyša.				Quechua
563		- u n q u -	99	be sick	Curva	unqu	estar enfermo	u n q u	unqu				Quechua
564		- u n q u -	99	be sick	Cuzco	unqu	estar enfermo	u n q u	unqu				Quechua
566		q i ʃ - j a	100	be sick	Huallaga	qišya.	estar enfermo	q i ʃ j a	qišya.				Quechua
567		ʔ i ʃ - j a	100	be sick	Huanca	qishyay	estar enfermo	ʔ i ʃ j a	qishyay				Quechua
570		- o ŋ q u -	99	be sick	Huangascar	unqu-	estar enfermo	o ŋ q u	unqu-				Quechua
571		- u n k u - + ʃ k a	99	be sick	Imbabura	unkushka	estar enfermo	u n k u + ʃ k a	unkushka		sick (adjective)		Quechua
572		q i ʃ a - -	100	be sick	Inkawasi	qiša.	estar enfermo	q i ʃ a	qiša.				Quechua
575		- u n g u -	99	be sick	Lamas	unku	estar enfermo	u n g u	unku				Quechua
576		q i ʃ a - -	100	be sick	Laraos	qiša.	estar enfermo	q i ʃ a	qiša.				Quechua
577		- o ŋ q u -	99	be sick	Lincha-Tana	unqu-	estar enfermo	o ŋ q u	unqu-				Quechua
578		- u n q u -	99	be sick	Maragua	unqu	estar enfermo	u n q u	unqu				Quechua
579		- u n g u - + tʃ i + n a	99	be sick	Napo	unguchina	estar enfermo	u n g u + tʃ i + n a	unguchina				Quechua
580		χ e ʃ - j a	100	be sick	Pacaraos	qishya	estar enfermo	χ e ʃ j a	qishya				Quechua
581		- u n g u - + n a	99	be sick	Pastaza	unguna	estar enfermo	u n g u + n a	unguna				Quechua
582		- u n ʁ u -	99	be sick	Pocona	unγu	estar enfermo	u n ʁ u	unγu				Quechua
584		- u n q u -	99	be sick	Puno	unqu	estar enfermo	u n q u	unqu				Quechua
585		- u n g u -	99	be sick	Putumayo	ungu	estar enfermo	u n g u	ungu				Quechua
586		- o ŋ q u -	99	be sick	SanPedro	unqu-	estar enfermo	o ŋ q u	unqu-				Quechua
587		- o ŋ q o s	99	be sick	Santiagueno	onqos	estar enfermo	o ŋ q o s	onqos				Quechua
590		- u n g u -	99	be sick	Serena	ungu	estar enfermo	u n g u	ungu				Quechua
592		- u n q u -	99	be sick	Taquile	unqu	estar enfermo	u n q u	unqu				Quechua
593		χ e ʃ - j a	100	be sick	Tarma	xišya	estar enfermo	χ e ʃ j a	xišya				Quechua
594		- u n g u -	99	be sick	Troje	ungu	estar enfermo	u n g u	ungu				Quechua
595		q i ʃ - j a	100	be sick	Yanac	qišya.	estar enfermo	q i ʃ j a	qiš(i)ya., ġišya				Quechua
7518		- u n g u - + k u + n a	99	be sick	Azuay	ungu-cu-na	estar enfermo	u n g u + k u + n a	ungu-cu-na				
7577		h i ʃ - j a	100	be sick	Jauja	qishyay	estar enfermo	h i ʃ j a	qishyay				
#
4312		w i k s a	150	belly (stomach)	Apuri	wiksa	barriga	w i k s a	wiksa				Quechua
4313		w i k s a	150	belly (stomach)	Apurimac	wiksa	barriga	w i k s a	wiksa				Quechua
4314		w i k s a	150	belly (stomach)	Arma	wiksa	barriga	w i k s a	wiksa				Quechua
4315		w i k s a	150	belly (stomach)	Atalla	wiksa	barriga	w i k s a	wiksa				Quechua
4316		w i k s a	150	belly (stomach)	Ayacucho	wiksa	barriga	w i k s a	wiksa				Quechua
4317		w i k s a	150	belly (stomach)	Bobonaza	huicsa	barriga	w i k s a	huicsa		abdomen		Quechua
4318		w i k s a	150	belly (stomach)	Cacra-Hongos	wiksa	barriga	w i k s a	wiksa				Quechua
4319		w i k s a	150	belly (stomach)	Chachapoyas	wiksa	barriga	w i k s a	wiksa				Quechua
4320		p a tʃ a	151	belly (stomach)	Chacpar	pača	barriga	p a tʃ a	pača				Quechua
4321		p a ʈʂ a	151	belly (stomach)	Chetilla	paĉa	barriga	p a ʈʂ a	paĉa				Quechua
4323		w i x s a	150	belly (stomach)	Curva	wixsa	barriga	w i x s a	wixsa, wisa				Quechua
4324		w i - s a	150	belly (stomach)	Curva	wisa	barriga	w i s a	wixsa, wisa				Quechua
4325		w i x s a	150	belly (stomach)	Cuzco	wixsa	barriga	w i x s a	wixsa				Quechua
4327		p a tʃ a	151	belly (stomach)	Huallaga	pača	barriga	p a tʃ a	pača				Quechua
4328		p a t a	151	belly (stomach)	Huanca	pata	barriga	p a t a	pata				Quechua
4330		w i k s a	150	belly (stomach)	Huangascar	wiksa	barriga	w i k s a	wiksa				Quechua
4331		p a tʃ a	151	belly (stomach)	HuarazHuailas	pacha	barriga	p a tʃ a	pacha				Quechua
4332		w i k s a	150	belly (stomach)	Imbabura	wiksa	barriga	w i k s a	wiksa				Quechua
4333		p a ʈʂ a	151	belly (stomach)	Inkawasi	paĉa	barriga	p a ʈʂ a	paĉa				Quechua
4338		w i k s a	150	belly (stomach)	Lamas	wiksa	barriga	w i k s a	wiksa				Quechua
4339		w i k s a	150	belly (stomach)	Laraos	wiksa	barriga	w i k s a	wiksa				Quechua
4340		w i k s a	150	belly (stomach)	Lincha-Tana	wiksa	barriga	w i k s a	wiksa				Quechua
4341		w i x s a	150	belly (stomach)	Maragua	wixsa	barriga	w i x s a	wixsa				Quechua
4342		w i k s a	150	belly (stomach)	Napo	huicsa	barriga	w i k s a	huicsa		abdomen		Quechua
4343		p a ʈʂ a	151	belly (stomach)	Pacaraos	patra	barriga	p a ʈʂ a	patra				Quechua
4344		w i k s a	150	belly (stomach)	Pastaza	vicsa	barriga	w i k s a	vicsa				Quechua
4345		w i - s a	150	belly (stomach)	Pocona	wisa	barriga	w i s a	wisa				Quechua
4347		w i k s a	150	belly (stomach)	Puno	wiksa	barriga	w i k s a	wiksa				Quechua
4348		w i x s a	150	belly (stomach)	Putumayo	huigsa	barriga	w i x s a	huigsa				Quechua
4349		p a tʃ a	151	belly (stomach)	Raimondi	pacha	barriga	p a tʃ a	pacha				Quechua
4350		w i k s a	150	belly (stomach)	SanPedro	wiksa	barriga	w i k s a	wiksa				Quechua
4351		w i x s a	150	belly (stomach)	Santiagueno	wiksa	barriga	w i x s a	wiksa				Quechua
4353		- i k s a	150	belly (stomach)	Serena	iksa	barriga	i k s a	iksa				Quechua
4355		w i - s a	150	belly (stomach)	Taquile	wisa	barriga	w i s a	wisa				Quechua
4356		p a ʈʂ a	151	belly (stomach)	Tarma	paĉa	barriga	p a ʈʂ a	paĉa				Quechua
4357		w i x s a	150	belly (stomach)	Troje	wixsa	barriga	w i x s a	wixsa				Quechua
4360		p a tʃ a	151	belly (stomach)	Wari	pacha	barriga	p a tʃ a	pacha				Quechua
4361		p a ʈʂ a	151	belly (stomach)	Yanac	paĉa	barriga	p a ʈʂ a	paĉa				Quechua
7452			150	belly (stomach)	Azuay	huigsa	barriga	w i χ a	huigsa				
7583		p a t a	151	belly (stomach)	Jauja	pata	barriga	p a t a	pata				
#
192		h a t u n	207	big	Apuri	hatun	grande	h a t u n	hatun				Quechua
193		h a t u n	207	big	Apurimac	hatun	grande	h a t u n	hatun				Quechua
194		h a t u ŋ	207	big	Arma	hatun	grande	h a t u ŋ	hatun				Quechua
195		h a t u n	207	big	Atalla	hatun	grande	h a t u n	hatun				Quechua
196		h a t u ŋ	207	big	Ayacucho	hatun	grande	h a t u ŋ	hatun				Quechua
